Week Ending Date,Report Date,Date,Weighted Prices,Sales
08/19/2017,08/23/2017,07/22,.8916,"21,618,274"
08/19/2017,08/23/2017,07/29,.8854,"18,700,471"
08/19/2017,08/23/2017,08/05,.8619,"26,336,269"
08/19/2017,08/23/2017,08/12,.8820,"13,414,455"
08/19/2017,08/23/2017,08/19,.8749,"12,996,765"
08/12/2017,08/16/2017,08/12,.8822,"13,166,262"
08/12/2017,08/16/2017,08/05,.8620,"26,295,098"
08/12/2017,08/16/2017,07/29,.8854,"18,700,471"
08/12/2017,08/16/2017,07/22,.8916,"21,618,274"
08/12/2017,08/16/2017,07/15,.9026,"15,521,374"
08/05/2017,08/09/2017,07/08,.9025,"13,278,868"
08/05/2017,08/09/2017,07/15,.9026,"15,521,374"
08/05/2017,08/09/2017,07/22,.8916,"21,620,317"
08/05/2017,08/09/2017,07/29,.8854,"18,702,371"
08/05/2017,08/09/2017,08/05,.8620,"26,171,145"
07/29/2017,08/02/2017,07/29,.8862,"17,525,222"
07/29/2017,08/02/2017,07/22,.8912,"21,297,333"
07/29/2017,08/02/2017,07/15,.9029,"15,061,242"
07/29/2017,08/02/2017,07/08,.9024,"13,030,090"
07/29/2017,08/02/2017,07/01,.9176,"15,985,002"
07/22/2017,07/26/2017,06/24,.9210,"17,839,285"
07/22/2017,07/26/2017,07/01,.9177,"16,026,339"
07/22/2017,07/26/2017,07/08,.9024,"13,030,090"
07/22/2017,07/26/2017,07/15,.9028,"15,019,242"
07/22/2017,07/26/2017,07/22,.8909,"20,944,532"
07/15/2017,07/19/2017,07/15,.9028,"14,765,436"
07/15/2017,07/19/2017,07/08,.9023,"12,988,491"
07/15/2017,07/19/2017,07/01,.9176,"16,152,828"
07/15/2017,07/19/2017,06/24,.9210,"17,839,285"
07/15/2017,07/19/2017,06/17,.9203,"12,621,307"
07/08/2017,07/12/2017,06/10,.9219,"15,287,759"
07/08/2017,07/12/2017,06/17,.9203,"12,620,580"
07/08/2017,07/12/2017,06/24,.9221,"17,759,104"
07/08/2017,07/12/2017,07/01,.9176,"16,152,709"
07/08/2017,07/12/2017,07/08,.9021,"12,946,604"
07/01/2017,07/06/2017,07/01,.9172,"15,657,676"
07/01/2017,07/06/2017,06/24,.9221,"17,759,104"
07/01/2017,07/06/2017,06/17,.9203,"12,620,580"
07/01/2017,07/06/2017,06/10,.9219,"15,287,759"
07/01/2017,07/06/2017,06/03,.8965,"18,395,650"
06/24/2017,06/28/2017,05/27,.8873,"17,205,592"
06/24/2017,06/28/2017,06/03,.8961,"18,227,650"
06/24/2017,06/28/2017,06/10,.9216,"14,868,071"
06/24/2017,06/28/2017,06/17,.9198,"12,005,019"
06/24/2017,06/28/2017,06/24,.9212,"17,337,158"
06/17/2017,06/21/2017,06/17,.9199,"11,919,315"
06/17/2017,06/21/2017,06/10,.9216,"14,868,071"
06/17/2017,06/21/2017,06/03,.8961,"18,227,650"
06/17/2017,06/21/2017,05/27,.8873,"17,205,592"
06/17/2017,06/21/2017,05/20,.8725,"17,621,405"
06/10/2017,06/14/2017,05/13,.8605,"18,051,253"
06/10/2017,06/14/2017,05/20,.8725,"17,579,625"
06/10/2017,06/14/2017,05/27,.8872,"17,037,592"
06/10/2017,06/14/2017,06/03,.8966,"18,017,161"
06/10/2017,06/14/2017,06/10,.9226,"14,736,827"
06/03/2017,06/07/2017,06/03,.8966,"18,017,162"
06/03/2017,06/07/2017,05/27,.8873,"16,995,705"
06/03/2017,06/07/2017,05/20,.8714,"17,994,181"
06/03/2017,06/07/2017,05/13,.8610,"18,051,198"
06/03/2017,06/07/2017,05/06,.8634,"16,859,407"
05/27/2017,06/01/2017,04/29,.8473,"26,242,092"
05/27/2017,06/01/2017,05/06,.8639,"16,271,969"
05/27/2017,06/01/2017,05/13,.8603,"17,631,598"
05/27/2017,06/01/2017,05/20,.8707,"17,407,631"
05/27/2017,06/01/2017,05/27,.8871,"16,533,930"
05/20/2017,05/24/2017,05/20,.8707,"17,323,856"
05/20/2017,05/24/2017,05/13,.8603,"17,631,598"
05/20/2017,05/24/2017,05/06,.8639,"16,271,969"
05/20/2017,05/24/2017,04/29,.8473,"25,894,261"
05/20/2017,05/24/2017,04/22,.8464,"20,459,212"
05/13/2017,05/17/2017,04/15,.8330,"28,017,022"
05/13/2017,05/17/2017,04/22,.8464,"20,351,263"
05/13/2017,05/17/2017,04/29,.8470,"26,307,846"
05/13/2017,05/17/2017,05/06,.8638,"16,442,202"
05/13/2017,05/17/2017,05/13,.8603,"17,504,834"
05/06/2017,05/10/2017,05/06,.8628,"16,837,586"
05/06/2017,05/10/2017,04/29,.8469,"26,357,145"
05/06/2017,05/10/2017,04/22,.8464,"20,351,263"
05/06/2017,05/10/2017,04/15,.8332,"27,851,472"
05/06/2017,05/10/2017,04/08,.8255,"15,577,069"
04/29/2017,05/03/2017,04/01,.8276,"38,461,788"
04/29/2017,05/03/2017,04/08,.8254,"15,241,620"
04/29/2017,05/03/2017,04/15,.8326,"27,221,684"
04/29/2017,05/03/2017,04/22,.8462,"20,057,263"
04/29/2017,05/03/2017,04/29,.8468,"25,845,958"
04/22/2017,04/26/2017,04/22,.8471,"19,518,175"
04/22/2017,04/26/2017,04/15,.8323,"26,988,633"
04/22/2017,04/26/2017,04/08,.8254,"15,241,675"
04/22/2017,04/26/2017,04/01,.8272,"38,117,981"
04/22/2017,04/26/2017,03/25,.8347,"30,882,586"
04/15/2017,04/19/2017,03/18,.8497,"27,197,890"
04/15/2017,04/19/2017,03/25,.8346,"30,756,923"
04/15/2017,04/19/2017,04/01,.8272,"38,117,981"
04/15/2017,04/19/2017,04/08,.8254,"15,241,675"
04/15/2017,04/19/2017,04/15,.8316,"26,856,094"
04/08/2017,04/12/2017,04/08,.8254,"15,241,675"
04/08/2017,04/12/2017,04/01,.8272,"38,117,981"
04/08/2017,04/12/2017,03/25,.8346,"30,756,923"
04/08/2017,04/12/2017,03/18,.8490,"27,008,835"
04/08/2017,04/12/2017,03/11,.8500,"23,610,488"
04/01/2017,04/05/2017,03/04,.9272,"13,921,923"
04/01/2017,04/05/2017,03/11,.8508,"23,232,988"
04/01/2017,04/05/2017,03/18,.8519,"27,008,835"
04/01/2017,04/05/2017,03/25,.8380,"30,798,923"
04/01/2017,04/05/2017,04/01,.8272,"38,117,981"
03/25/2017,03/29/2017,03/25,.8379,"30,630,051"
03/25/2017,03/29/2017,03/18,.8519,"27,008,835"
03/25/2017,03/29/2017,03/11,.8492,"22,966,289"
03/25/2017,03/29/2017,03/04,.9272,"13,921,923"
03/25/2017,03/29/2017,02/25,.9556,"11,828,513"
03/18/2017,03/22/2017,02/18,.9868,"11,984,337"
03/18/2017,03/22/2017,02/25,.9554,"11,786,350"
03/18/2017,03/22/2017,03/04,.9276,"13,964,086"
03/18/2017,03/22/2017,03/11,.8492,"22,966,289"
03/18/2017,03/22/2017,03/18,.8517,"27,008,835"
03/11/2017,03/15/2017,03/11,.8490,"22,924,289"
03/11/2017,03/15/2017,03/04,.9267,"13,791,677"
03/11/2017,03/15/2017,02/25,.9554,"11,786,350"
03/11/2017,03/15/2017,02/18,.9864,"11,900,562"
03/11/2017,03/15/2017,02/11,.9928,"14,096,077"
03/04/2017,03/08/2017,02/04,1.0203,"20,243,469"
03/04/2017,03/08/2017,02/11,.9928,"14,094,423"
03/04/2017,03/08/2017,02/18,.9864,"11,900,562"
03/04/2017,03/08/2017,02/25,.9554,"11,786,350"
03/04/2017,03/08/2017,03/04,.9267,"13,791,677"
02/25/2017,03/01/2017,02/25,.9549,"11,488,726"
02/25/2017,03/01/2017,02/18,.9820,"11,858,674"
02/25/2017,03/01/2017,02/11,.9923,"13,804,352"
